file,column,dtype
audit_summary.csv,file,object
audit_summary.csv,rows,int64
audit_summary.csv,columns,int64
audit_summary.csv,missing,int64
audit_summary.csv,duplicates,int64
audit_summary.csv,memory_mb,float64
circuits.csv,circuitId,int64
circuits.csv,circuitRef,object
circuits.csv,name,object
circuits.csv,location,object
circuits.csv,country,object
circuits.csv,lat,float64
circuits.csv,lng,float64
circuits.csv,alt,int64
circuits.csv,url,object
column_audit_report.csv,file,object
column_audit_report.csv,column,object
column_audit_report.csv,dtype,object
column_audit_report.csv,missing,int64
column_audit_report.csv,missing_pct,float64
column_audit_report.csv,unique,int64
constructor_results.csv,constructorResultsId,int64
constructor_results.csv,raceId,int64
constructor_results.csv,constructorId,int64
constructor_results.csv,points,float64
constructor_results.csv,status,object
constructor_standings.csv,constructorStandingsId,int64
constructor_standings.csv,raceId,int64
constructor_standings.csv,constructorId,int64
constructor_standings.csv,points,float64
constructor_standings.csv,position,object
constructor_standings.csv,positionText,object
constructor_standings.csv,wins,int64
constructors.csv,constructorId,int64
constructors.csv,constructorRef,object
constructors.csv,name,object
constructors.csv,nationality,object
constructors.csv,url,object
driver_standings.csv,driverStandingsId,int64
driver_standings.csv,raceId,int64
driver_standings.csv,driverId,int64
driver_standings.csv,points,float64
driver_standings.csv,position,object
driver_standings.csv,positionText,object
driver_standings.csv,wins,int64
drivers.csv,driverId,int64
drivers.csv,driverRef,object
drivers.csv,number,object
drivers.csv,code,object
drivers.csv,forename,object
drivers.csv,surname,object
drivers.csv,dob,object
drivers.csv,nationality,object
drivers.csv,url,object
qualifying.csv,qualifyId,int64
qualifying.csv,raceId,int64
qualifying.csv,driverId,int64
qualifying.csv,constructorId,int64
qualifying.csv,number,int64
qualifying.csv,position,int64
qualifying.csv,q1,object
qualifying.csv,q2,object
qualifying.csv,q3,object
qualifying_2008_2026.csv,race_id,object
qualifying_2008_2026.csv,driver_id,object
qualifying_2008_2026.csv,constructor_id,object
qualifying_2008_2026.csv,position,int64
qualifying_2008_2026.csv,q1,object
qualifying_2008_2026.csv,q2,object
qualifying_2008_2026.csv,q3,object
races.csv,raceId,int64
races.csv,year,int64
races.csv,round,int64
races.csv,circuitId,int64
races.csv,name,object
races.csv,date,object
races.csv,time,object
races.csv,url,object
races.csv,fp1_date,object
races.csv,fp1_time,object
races.csv,fp2_date,object
races.csv,fp2_time,object
races.csv,fp3_date,object
races.csv,fp3_time,object
races.csv,quali_date,object
races.csv,quali_time,object
races.csv,sprint_date,object
races.csv,sprint_time,object
results.csv,resultId,int64
results.csv,raceId,int64
results.csv,driverId,int64
results.csv,constructorId,int64
results.csv,number,object
results.csv,grid,object
results.csv,position,object
results.csv,positionText,object
results.csv,positionOrder,int64
results.csv,points,float64
results.csv,laps,int64
results.csv,time,object
results.csv,milliseconds,object
results.csv,fastestLap,object
results.csv,rank,object
results.csv,fastestLapTime,object
results.csv,fastestLapSpeed,object
results.csv,statusId,int64
results_2008_2026.csv,race_id,object
results_2008_2026.csv,driver_id,object
results_2008_2026.csv,constructor_id,object
results_2008_2026.csv,grid,object
results_2008_2026.csv,position,object
results_2008_2026.csv,position_order,int64
results_2008_2026.csv,points,float64
results_2008_2026.csv,laps,int64
results_2008_2026.csv,status,object
status.csv,statusId,int64
status.csv,status,object
